ID,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
8,LOTE1,29/08/2014,CENTRO,Sé,-23.5725626,-46.6288549,Liberdade,PARQUE DA ACLIMAÇÃO,R. Muniz de Sousa  1119,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/JOUkj,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e5b0
23,LOTE1,12/01/2014,CENTRO,Sé,-23.5516833,-46.6349531,Praça da Sé,PRAÇA DA SÉ,Praça da Sé,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/RPwxN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee3c
5,LOTE1,18/08/2014,CENTRO,Sé,-23.546542,-46.6413936,Consolação,PRAÇA DOM JOSÉ GASPAR,Rua Doutor Bráulio Gomes  49,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/ESqLU,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f40c
26,LOTE2,25/09/2014,ZONA LESTE,Mooca,-23.5423468,-46.6167342,Brás,LARGO DA CONCÓRDIA,Largo da Concórdia,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/OBv5d,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e57c
44,LOTE2,12/08/2014,ZONA LESTE,Itaquera,-23.5440745,-46.4350873,José Bonifácio,PRAÇA BRASIL (PRAÇA MÃE MENININHA DO GANTOIS),Rua Cecília Porto  9  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/GGCCG,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358da0a
33,LOTE2,14/10/2014,ZONA LESTE,Cidade Tiradentes,-23.6003951,-46.3998072,Cidade Tiradentes,PRAÇA DO 65 / POMBAS URBANAS,Avenida dos Metalúrgicos  2249,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/ZxYvQ,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee40
34,LOTE2,18/11/2014,ZONA LESTE,Cidade Tiradentes,-23.583103,-46.409183,Cidade Tiradentes,PRAÇA DO TERMINAL METALÚRGICOS,Avenida dos Metalúrgicos  sn  Cidade Tiradentes  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/BFZKS,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=6466b358ea6a
55,LOTE2,07/04/2014,ZONA LESTE,São Miguel,-23.4919791,-46.4458079,São Miguel,PRAÇA PADRE ALEIXO (DO FORRÓ),Praça Padre Aleixo Monteiro Mafra  São Miguel Paulista  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/O4uz1,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e9ce
102,LOTE0,11/04/2014,ZONA SUL,Capela do Socorro,-23.735407,-46.6920257,Grajaú,CALÇADÃO CULTURAL DO GRAJAÚ,Rua Professor Oscar Barreto Filho  252  Parque América  SP  Brasil,SP,São Paulo,Brasil,Brazil,150,https://goo.gl/maps/lGrTP,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890140
100,LOTE0,03/02/2015,ZONA SUL,Campo Limpo,-23.6166096,-46.7268901,Vila Andrade,CAMPO DO PALMEIRINHA - PARAISÓPOLIS,R. Melchior Giola  157 - Paraisópolis  Vila Andrade São Paulo  05664-000,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/mtbOu,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=0418D6955662
120,LOTE0,05/09/2014,ZONA SUL,Santo Amaro,-23.651345,-46.707425,Santo Amaro,PRAÇA FLORIANO PEIXOTO,Praça Floriano Peixoto  Santo Amaro São Paulo - SP  04751-030,SP,São Paulo,Brasil,Brazil,150,https://goo.gl/maps/xT1ru,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D693E721
98,LOTE0,15/05/2014,ZONA SUL,Campo Limpo,-23.633992,-46.775788,Campo Limpo,PRAÇA JOÃO TADEU PRIOLLI (PRAÇA DO CAMPO LIMPO),R. Paul Gauguin  21 - Campo Limpo São Paulo  05789-090 ?,SP,São Paulo,Brasil,Brazil,150,http://goo.gl/maps/3xGLO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6955015
