ID,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
18,LOTE1,10/01/2014,CENTRO,Sé,-23.5439246,-46.634179,Largo São Bento,LARGO SÃO BENTO,Largo São Bento,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/GIMhp,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f092
16,LOTE1,12/11/2014,CENTRO,Sé,-23.549606,-46.636063,Largo Sâo Francisco,LARGO SÃO FRANCISCO,Largo São Francisco,SP,São Paulo,Brasil,Brazil,100,https://www.google.com.br/maps/place/Largo+S%C3%A3o+Francisco+-+S%C3%A9 +S%C3%A3o+Paulo+-+SP +01005-010/@-23.549606 -46.6371027 19z/data=!4m2!3m1!1s0x94ce59aca8713b2f:0xe21281543f5468b,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358dd46
13,LOTE1,10/01/2014,CENTRO,Sé,-23.5502757,-46.6393536,República,PRAÇA DA BANDEIRA,Praça da Bandeira,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/yNdnb,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f106
20,LOTE1,13/10/2014,CENTRO,Sé,-23.5476086,-46.6364474,Praça do Patriarca,PRAÇA DO PATRIARCA,Praça do Patriarca,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/8RVVj,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590312
12,LOTE1,13/10/2014,CENTRO,Sé,-23.5458347,-46.6379825,República,PRAÇA RAMOS DE AZEVEDO,Praça Ramos de Azevedo,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/1R9fI,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358fb7c
6,LOTE1,09/05/2014,CENTRO,Sé,-23.5453859,-46.6495519,Consolação,PRAÇA ROTARY,Rua Major Sertório  561,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/1gnpr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e53c
41,LOTE2,25/09/2014,ZONA LESTE,Itaim Paulista,-23.5068402,-46.429165,Vila Curuçá,PARQUE CHICO MENDES,Parque Chico Mendes - Rua Cembira  Vila Curuçá  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/sOH6G,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b35901be
48,LOTE2,14/08/2014,ZONA LESTE,Penha,-23.5141791,-46.532708,Cangaíba,PARQUE LINEAR TIQUATIRA,Avenida Governador Carvalho Pinto  1759  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/UP32r,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358de46
45,LOTE2,25/09/2014,ZONA LESTE,Itaquera,-23.5534057,-46.4439344,José Bonifácio,PARQUE RAUL SEIXAS,Rua Murmúrios da Tarde  190  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/sxfoY,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358fdfc
39,LOTE2,14/10/2014,ZONA LESTE,Itaim Paulista,-23.5000861,-46.3759471,Itaim Paulista,PARQUE SANTA AMÉLIA,Rua Rio Contagem  72,SP,São Paulo,Brasil,Brazil,100,http://goo.gl/maps/p62jN,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ee1a
