ID,Lote,Instalação,Zona,Bairro,Latitude,Longitude,Local,Praça,Endereço,Estado,Cidade,País,Country,Capacidade (em usuários),Google Maps,Controle de Qualidade
4,LOTE1,09/05/2014,CENTRO,Sé,-23.5642275,-46.6201226,Cambuci,LARGO DO CAMBUCI,Rua da Independência  94,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/5mP9k,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ea5c
14,LOTE1,12/08/2014,CENTRO,Sé,-23.5427245,-46.6383969,República,LARGO DO PAISSANDÚ,Largo do Paissandu,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/1Z6SH,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f460
2,LOTE1,29/08/2014,CENTRO,Sé,-23.5624259,-46.6458824,Bela Vista,PRAÇA DON ORIONE,Viaduto Armando Puglisi,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/vcXAi,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e58e
19,LOTE1,03/05/2014,CENTRO,Sé,-23.5483793,-46.6327699,Páteo do Colégio,PÁTEO DO COLÉGIO,Páteo do Colégio,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/16dGp,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b7c
49,LOTE2,10/08/2014,ZONA LESTE,Penha,-23.5256169,-46.5491141,Penha,LARGO DO ROSÁRIO,Largo do Rosário  15  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/t0IEO,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed59F28a
46,LOTE2,02/09/2015,ZONA LESTE,Itaquera,-23.565147,-46.47036,Parque do Carmo,PRAÇA AUGUSTO DOMINGUES ALVES MAIA,Rua Arcádia Paulistana  375  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/6pYaC,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=10feed391b4a
38,LOTE2,14/10/2014,ZONA LESTE,Guaianases,-23.5353685,-46.4136043,Lajeado,PRAÇA CECÍLIA MARQUES DE ARAÚJO,Rua Gonçalves de Oliveira  13,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/ePZah,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358de34
27,LOTE2,14/10/2014,ZONA LESTE,Mooca,-23.5523131,-46.5998163,Mooca,PRAÇA CIRO PONTES / AO LADO DO SENAI,Praça Ciro Pontes,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/SYIDr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358de08
54,LOTE2,10/08/2014,ZONA LESTE,São Miguel,-23.4793534,-46.4191577,Jardim Helena,PRAÇA CRAVEIRO DO CAMPO,Rua Kumaki Aoki  1074  Jardim Helena  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/907xr,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590180
35,LOTE2,12/11/2014,ZONA LESTE,Ermelino Matarazzo,-23.5313033,-46.5021446,Jardim Helena,PRAÇA DA ESTAÇÃO VILA MARA,Praça da Estação Vila Mara,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/xbjbn,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ff6e
47,LOTE2,03/05/2014,ZONA LESTE,Penha,-23.546158,-46.4827062,Artur Alvim,PRAÇA DILVA GOMES MARTINS (COHAB 1),Rua Padre Manuel Barreto  68  COHAB Padre Manoel da Nóbrega  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/dqDD6,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f2ac
36,LOTE2,14/11/2014,ZONA LESTE,Ermelino Matarazzo,-23.507780,-46.489798,Ponte Rasa,PRAÇA GIOVANI FANI,Praça Giovanni Fiani  Vila Ponte Rasa  São Paulo - SP  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/JfMFj,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=6466b358ee62
40,LOTE2,25/09/2014,ZONA LESTE,Itaim Paulista,-23.501157,-46.4225891,Vila Curuçá,PRAÇA JAGUAMITANGA,Rua Guaxima  163  Vila Curuçá  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/ZdkjV,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358e53e
51,LOTE2,14/10/2014,ZONA LESTE,São Mateus,-23.6130147,-46.4234887,Iguatemi,PRAÇA OSLEI FRANCISCO BORGES,Rua Tauro  58 - Recanto Verde do Sol  São Paulo - SP  08381-770  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/RIS79,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358eee6
53,LOTE2,10/08/2014,ZONA LESTE,São Mateus,-23.6218509,-46.4680877,São Rafael,PRAÇA OSVALDO LUÍS DA SILVEIRA,Rua Ponte do Guaré  88  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/xEY4z,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358ef20
32,LOTE2,10/08/2014,ZONA LESTE,Aricanduva/Formosa/Carrão,-23.567338,-46.5410358,Vila Formosa,PRAÇA SAMPAIO VIDAL,Praça Doutor Sampaio Vidal,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/qe92V,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954EBB
30,LOTE2,12/02/2014,ZONA LESTE,Aricanduva/Formosa/Carrão,-23.5648793,-46.5127128,Aricanduva,PRAÇA SÃO JOÃO VICENZOTTO,Praça São João Vicenzotto,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/srAFg,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f59e
24,LOTE2,14/10/2014,ZONA LESTE,Mooca,-23.569114,-46.567071,Água Rasa,PRAÇA SÃO LUIS DO CURU,Rua Capitão Lorena  84,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/DjE94,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b3590ff2
59,LOTE2,12/05/2014,ZONA LESTE,Sapopemba,-23.5989888,-46.5164477,Sapopemba,PRAÇA TORQUATO PLAZA,Praça Torquato Plaza  Jardim Grimaldi  São Paulo,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/wN2cb,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=6466b358f220
31,LOTE2,18/11/2014,ZONA LESTE,Aricanduva/Formosa/Carrão,-23.5484053,-46.5371547,Carrão,PRAÇA VICENTE FALCETTA,Praça Vicente Falcetta,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/bh9t2,http://simet-publico.ceptro.br/simet-box-history/indexsimetbox.html?idCookie=6466b3590296
71,LOTE3,15/12/2014,ZONA NORTE,Pirituba,-23.475522,-46.756741,São Domingos,PRAÇA 14º ÁREA / RUA CALDAS NOVAS / RUA DOZE,Rua Caldas Novas  93  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/DLmGy,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D68FED79
77,LOTE3,24/02/2015,ZONA NORTE,Vila Maria/Vila Guilherme,-23.489451,-46.574074,Vila Medeiros,PRAÇA LOURENÇO DE BELLIS,Av. João Simão de Castro  252 - Vila Medeiros São Paulo  02141-000,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/6xk2K,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954E52
74,LOTE3,26/06/2014,ZONA NORTE,Santana/Tucuruvi,-23.4893517,-46.6095508,Tucuruvi,PRAÇA NOSSA SENHORA DOS PRAZERES,Praça Nossa Senhora dos Prazeres  Vila Dom Pedro II  São Paulo - SP  Brasil?,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/XujWY,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418d669d27c
72,LOTE3,19/08/2014,ZONA NORTE,Santana/Tucuruvi,-23.475144,-46.6388556,Mandaqui,PRAÇA VEREADOR ANTONIO SAMPAIO / AV ULTRAMARINO,Avenida Ultramarino  262  São Paulo  Brasil,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/FfjX2,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6954EBB
79,LOTE0,09/03/2014,ZONA OESTE,Lapa,-23.5265451,-46.6775602,Barra Funda,PRAÇA CONDE FRANCISCO MATARAZZO,Praça Conde Francisco Matarazzo Junior  Água Branca  São Paulo - SP  Brasil ?,SP,São Paulo,Brasil,Brazil,50,http://goo.gl/maps/fMhxt,http://simet-publico.ceptro.br/simet-box-history/indexprefeitura.html?idCookie=0418D6890046
